Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"HCFMF - 2 Digit Level by LGA by FINF Total Family Income (weekly) and CDCF Count of Dependent Children in Family"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"Counting","HCFMF - 2 Digit Level","LGA","FINF Total Family Income (weekly)","CDCF Count of Dependent Children in Family","Count",
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: Five dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Couple family with: Six or more dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: Five dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","One parent family with: Six or more dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Not applicable",38
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Negative income","Total",38
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: Five dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Couple family with: Six or more dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: Five dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","One parent family with: Six or more dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Not applicable",206
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","Nil income","Total",206
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: Five dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Couple family with: Six or more dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: Five dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","One parent family with: Six or more dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Not applicable",118
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$1-$149 ($1-$7,799)","Total",118
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$150-$299 ($7,800-$15,599)","Couple family with: No dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$150-$299 ($7,800-$15,599)","Couple family with: One dependent child",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$150-$299 ($7,800-$15,599)","Couple family with: Two dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$150-$299 ($7,800-$15,599)","Couple family with: Three dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$150-$299 ($7,800-$15,599)","Couple family with: Four dependent children",0
"Families Location on Census Night","One family household: Couple family with no children","Unincorporated ACT","$150-$299 ($7,800-$15,599)","Couple family with: Five dependent children",0
