Australian Bureau of Statistics,,,,,,,,,,,,,,,,
"81670DO002_201617 Selected Characteristics of Australian Business, 2016-17",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Thurs 16 Aug 2018,,,,,,,,,,,,,,,,
"Table 6 Main supplier of goods or services, by innovation status, by employment size, by industry – 2016-17",,,,,,,,,,,,,,,,
,All businesses,,,,,Innovation-active businesses,,,,,Non innovation-active businesses,,,,,
,Australian suppliers,,,,,Australian suppliers,,,,,Australian suppliers,,,,,
,Government organisations,Large businesses or organisations,Small and/or medium businesses or organisations,Overseas suppliers,Not applicable,Government organisations,Large businesses or organisations,Small and/or medium businesses or organisations,Overseas suppliers,Not applicable,Government organisations,Large businesses or organisations,Small and/or medium businesses or organisations,Overseas suppliers,Not applicable,
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
Total,1.8,16.0,57.2,5.1,20.0,2.1,19.3,56.1,7.0,15.5,1.5,13.4,58.0,3.5,23.7,
Employment size,,,,,,,,,,,,,,,,
0–4 persons,1.7,13.9,56.0,4.7,23.8,1.9,15.9,55.8,7.7,18.6,1.5,12.8,56.0,2.9,26.7,
5–19 persons,1.8,17.6,60.6,5.2,14.8,2.1,21.3,57.7,5.8,13.1,1.3,12.7,64.5,4.4,17.0,
20–199 persons,2.2,26.1,54.1,7.0,10.7,2.7,27.0,53.5,7.6,9.2,,24.7,55.1,,13.0,
200 or more persons,3.7,36.5,33.5,15.7,10.4,1.9,39.1,31.6,16.5,10.9,8.0,30.6,38.1,14.0,9.3,
Industry,,,,,,,,,,,,,,,,
"Agriculture, Forestry and Fishing",,13.3,71.2,,14.2,,18.1,67.4,,11.8,,11.5,72.6,,15.1,
Mining,1.1,18.7,52.7,9.7,17.9,,21.4,59.7,9.9,,,16.6,47.2,,24.8,
Manufacturing,0.9,13.7,69.3,9.5,6.6,1.4,18.4,63.8,12.6,3.8,0.5,9.3,74.5,6.5,9.2,
"Electricity, Gas, Water and Waste Services",4.1,15.2,54.0,4.6,22.1,3.6,16.9,61.8,3.5,14.3,,13.8,47.5,,28.6,
Construction,1.1,19.3,65.5,2.2,11.8,,30.2,58.7,,6.3,,13.0,69.4,,15.0,
Wholesale Trade,1.7,16.1,41.4,30.7,10.1,2.5,18.7,38.3,36.0,4.5,,13.0,45.1,24.4,,
Retail Trade,,30.0,52.2,10.7,,0.0,32.7,47.9,12.5,6.9,,26.7,57.4,,5.6,
Accommodation and Food Services,1.9,6.5,74.2,1.0,16.4,3.0,6.4,75.3,2.1,13.2,,6.5,73.2,,19.4,
"Transport, Postal and Warehousing",7.7,25.8,42.3,3.0,21.2,11.0,23.8,46.3,6.9,12.0,,27.1,39.7,,27.3,
Information Media and Telecommunications,2.8,19.9,43.7,9.0,24.6,,18.3,51.0,,16.2,2.9,22.5,32.1,4.7,37.8,
Financial and Insurance Services,,27.5,36.4,,34.8,,30.3,38.5,,29.5,0.0,24.4,34.2,1.0,40.5,
"Rental, Hiring and Real Estate Services",,6.6,53.2,,37.1,0.0,8.5,57.4,3.7,30.4,,5.3,50.1,,42.1,
"Professional, Scientific and Technical Services",2.4,12.7,50.9,5.0,29.0,,15.7,55.6,,22.1,3.0,10.1,46.6,5.0,35.2,
Administrative and Support Services,2.0,13.1,56.0,3.5,25.5,3.4,13.1,59.6,5.2,18.7,0.9,13.1,53.2,2.2,30.7,
Health Care and Social Assistance,2.6,9.7,44.3,1.3,42.1,4.1,,49.1,,33.4,,,39.6,,50.5,
Arts and Recreation Services,,6.4,55.4,,33.9,1.9,10.4,57.9,2.8,27.0,,2.1,52.6,,41.3,
Other Services,,16.7,61.9,,19.1,,14.1,63.1,,19.9,,18.8,60.9,,18.5,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2018,,,,,,,,,,,,,,,,
